,,,,,,,,5/26/92,,,,,
,,,,,,,,,,,,,
,,Table 1:,"MEAN, MEDIAN, AND SAMPLE SIZE--TRAVEL TIME FOR WASHCOG REGION",,,,,,,,,,
,,,,AM AND PM PEAK PERIOD,,,,,,,,,
,,,,,,,,,,,,,
,,,H2W,W2H,H2O,O2H,W2O,O2W,O2O,,,,
,,,,,D  E  S  T  I  N  A  T  I  O  N,,,,,,,,
,,,,,,,,,,,,,
ORIGIN,,              CENTER CITY,,,      INNER SUBURBS,,,      OUTER SUBURBS,,,      REGIONAL AVERAGE,,
,,,,%,,,%,,,%,,,%
,,1968,1988,Change,1968,1988,Change,1968,1988,Change,1968,1988,Change
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CENTER CITY,,31.2,30.5,-2.24358974358974,36.6,28.9,-21.0382513661202,45.3,36,-20.5298013245033,32.2,30.5,-5.27950310559007
,,,,,,,,,,,,,
INNER SUBURBS,,37.3,35,-6.16621983914208,20.4,22.8,11.764705882353,27,32.3,19.6296296296296,31.1,30.4,-2.25080385852091
,,,,,,,,,,,,,
OUTER SUBURBS,,45.2,47.7,5.53097345132743,29.4,38.3,30.2721088435374,20.6,25.6,24.2718446601942,33,34.3,3.93939393939393
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Source: 1968 and 1987/88 Metropolitan Washington Council of Governments Household Travel Surveys,,,,,,,,,,,,,
        A.M. Peak: 6-9 A.M.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Table 4:,Difference of Means Test: Null Hypothesis: There Is No,,,,,,,,,,
,,,Difference In Travel Time Distributions By Mode And Purpose,,,,,,,,,,
,,, From 1968 To 1988.,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,PURPOSE,,,,,,,,
,,,Home to,Work to,Home to,Other to,Work to,Other to,Other to,,,,
,,MODE,Work,Home,Other,Home,Other,Work,Other,,,,
,,AUTO-1,0.371332777238787,0,4.15636648046537,8.8063640810387,1.23760663344816,1.82242932675169,0.158319205276504,,,,
,,,*,*,, ,*,*,*,,,,
,,,,,,,,,,,,,
,,AUTO-2,0.507355998169177,1.96583594351095,2.40744995892854,1.13899897527584,0.60730307873688,3.66918331917583,0.0888111419353261,,,,
,,,*,, ,*,*, ,*,,,,
,,,,,,,,,,,,,
,,AUTO-3,1.50141491729922,0.853382906044645,0.944833481417542,1.85980015803436,0.306182746901113,0.113459195395342,2.62399064117291,,,,
,,,*,*,*,*,*,*, ,,,,
,,,,,,,,,,,,,
,,TRANSIT,0.28587467097619,8.45401324650335,1.91064255682378,4.21901406150075,0.446304303189305,2.09131621381743,0.195367133348983,,,,
,,,*,,*, ,*, ,*,,,,
,,,,,,,,,,,,,
,,,note: * indicates ps0.05,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Capacity,13,,,,,,,,,,,
,Population,43,,,,,,,,,,,
,Households,78,,,,,,,,,,,
,Autos,118,,,,,,,,,,,
,VMT,133,,,,,,,,,,,
